danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.708,0.509,7,-7.086,0,0.107,0.176,0,0.0495,0.672,179.88,audio_features,3kQhtfzbTyOYpw2MeKBR7e,spotify:track:3kQhtfzbTyOYpw2MeKBR7e,https://api.spotify.com/v1/tracks/3kQhtfzbTyOYpw2MeKBR7e,https://api.spotify.com/v1/audio-analysis/3kQhtfzbTyOYpw2MeKBR7e,135560,4
0.59,0.222,5,-11.28,1,0.0388,0.634,0,0.119,0.622,141.846,audio_features,4CYFGGc4EVyfktgY6Oli2B,spotify:track:4CYFGGc4EVyfktgY6Oli2B,https://api.spotify.com/v1/tracks/4CYFGGc4EVyfktgY6Oli2B,https://api.spotify.com/v1/audio-analysis/4CYFGGc4EVyfktgY6Oli2B,224869,4
0.432,0.175,0,-13.269,1,0.0447,0.692,0,0.117,0.203,177.434,audio_features,4d27ZyAYfKRmIQAuF7mYKy,spotify:track:4d27ZyAYfKRmIQAuF7mYKy,https://api.spotify.com/v1/tracks/4d27ZyAYfKRmIQAuF7mYKy,https://api.spotify.com/v1/audio-analysis/4d27ZyAYfKRmIQAuF7mYKy,152500,3
0.806,0.562,6,-7.45,1,0.139,0.183,0,0.131,0.777,102.036,audio_features,7eeHCS30IlVQyC4OsTc1kT,spotify:track:7eeHCS30IlVQyC4OsTc1kT,https://api.spotify.com/v1/tracks/7eeHCS30IlVQyC4OsTc1kT,https://api.spotify.com/v1/audio-analysis/7eeHCS30IlVQyC4OsTc1kT,126287,4
0.744,0.577,0,-7.246,1,0.0567,0.0657,0,0.378,0.639,95.021,audio_features,7lCABy5ozzPeDGxYB4ja4D,spotify:track:7lCABy5ozzPeDGxYB4ja4D,https://api.spotify.com/v1/tracks/7lCABy5ozzPeDGxYB4ja4D,https://api.spotify.com/v1/audio-analysis/7lCABy5ozzPeDGxYB4ja4D,143467,4
0.634,0.778,9,-4.135,1,0.0809,0.0189,0,0.291,0.462,155.982,audio_features,4j5gXarJqoiwh4ZIAqZcmh,spotify:track:4j5gXarJqoiwh4ZIAqZcmh,https://api.spotify.com/v1/tracks/4j5gXarJqoiwh4ZIAqZcmh,https://api.spotify.com/v1/audio-analysis/4j5gXarJqoiwh4ZIAqZcmh,180066,4
0.827,0.56,0,-6.685,1,0.0327,0.55,3.66e-05,0.15,0.873,122.056,audio_features,7gm2omqXDTaT4sS17hSu8T,spotify:track:7gm2omqXDTaT4sS17hSu8T,https://api.spotify.com/v1/tracks/7gm2omqXDTaT4sS17hSu8T,https://api.spotify.com/v1/audio-analysis/7gm2omqXDTaT4sS17hSu8T,198001,4
0.52,0.411,2,-11.117,1,0.0382,0.578,0,0.365,0.43,143.979,audio_features,4PTL4dJzIpz3UKnfv5nr2V,spotify:track:4PTL4dJzIpz3UKnfv5nr2V,https://api.spotify.com/v1/tracks/4PTL4dJzIpz3UKnfv5nr2V,https://api.spotify.com/v1/audio-analysis/4PTL4dJzIpz3UKnfv5nr2V,180000,4
0.853,0.537,7,-7.33,1,0.0891,0.0223,0,0.264,0.798,92.032,audio_features,2zu30LdbP8392UxdpWrWG9,spotify:track:2zu30LdbP8392UxdpWrWG9,https://api.spotify.com/v1/tracks/2zu30LdbP8392UxdpWrWG9,https://api.spotify.com/v1/audio-analysis/2zu30LdbP8392UxdpWrWG9,150973,4
0.757,0.434,7,-11.102,0,0.0655,0.531,0,0.34,0.798,84.981,audio_features,2gtm8uC0kTOm87OKcuvLxo,spotify:track:2gtm8uC0kTOm87OKcuvLxo,https://api.spotify.com/v1/tracks/2gtm8uC0kTOm87OKcuvLxo,https://api.spotify.com/v1/audio-analysis/2gtm8uC0kTOm87OKcuvLxo,126718,4
