id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6v5vr3SqSczkqIIVeW8RjZ,0.835,0.284,-10.121,0.0778,0.631,3.96e-06,0.102,0.286,86.982
2m9kfA99oiBmS3fljluWtf,0.666,0.646,-4.906,0.0895,0.13,0.0,0.089,0.836,169.948
0DHBocC3mQFnoiqWWD92TB,0.517,0.805,-5.901,0.148,0.247,0.0,0.179,0.393,166.047
1p1EeOGryPK0AQRraHw6fW,0.729,0.638,-6.248,0.0627,0.0522,0.0,0.161,0.895,123.919
3RpeMS8fRVpXYME5gOoxBP,0.577,0.397,-10.866,0.0665,0.708,0.000436,0.12,0.345,91.95
3Lke0rX94asrDmGqkNh817,0.454,0.422,-6.979,0.033,0.244,0.0,0.183,0.238,157.433
3KMp3FuaCabAi75a5oDRfH,0.735,0.439,-10.593,0.252,0.395,1.64e-06,0.119,0.751,93.018
0pdj7pIr0cwQeFielID46j,0.716,0.572,-7.391,0.0534,0.453,0.0,0.184,0.65,79.982
7IezwtVIJIPC36LpKMR9d7,0.924,0.716,-7.158,0.0541,0.0177,1.15e-06,0.128,0.48,119.973
3qwtDfrHnLkRyoRJwuRieH,0.853,0.68,-6.336,0.0443,0.193,0.0,0.089,0.964,110.035
2ngNeWCODoaj7RdwQAJDna,0.665,0.541,-7.792,0.309,0.186,0.0,0.164,0.894,200.235
5HrBwBW9Teiys6bYlsOZpm,0.919,0.616,-5.215,0.0778,0.000516,0.000203,0.0752,0.431,124.042
4r0kug4vaNx3d8qyDLhQes,0.765,0.572,-6.153,0.128,0.226,0.0,0.192,0.475,140.013
7pjlSvtMtqybSo198LE0P6,0.528,0.488,-7.873,0.0308,0.368,0.0,0.0903,0.0694,144.018
5vO71tywH4g5RnxVcRWGLz,0.652,0.218,-16.49,0.0393,0.868,0.00139,0.109,0.22,127.794
6oPDWUwxTIsGejcHd9tLdc,0.472,0.528,-8.215,0.0305,0.778,0.00108,0.137,0.543,99.019
53vqxI2N89pMUUmJMhxqrS,0.565,0.558,-7.669,0.174,0.184,0.0,0.0951,0.587,90.11
7MaV8u4IQwSPpUwg5Dm0k9,0.653,0.521,-5.631,0.0726,0.233,0.0,0.54,0.857,92.987
5sHF15InlZ6zQf4OzH6YDr,0.857,0.467,-10.488,0.14,0.201,0.0,0.381,0.811,118.003
5AxhA8xrGrHFqUjIVbrDk0,0.869,0.777,-4.493,0.121,0.0403,0.0,0.107,0.362,104.041
4PRdeh2zIyM1pvY4x5luLe,0.299,0.357,-9.731,0.0372,0.538,0.0,0.133,0.278,179.664
5ggdrgZR1mOXpHMQcoVJgS,0.643,0.405,-10.522,0.0254,0.237,0.0,0.127,0.622,104.991
5Jfm4BNqlO9j0hKS6Yn4Om,0.69,0.366,-5.905,0.0385,0.717,0.0,0.11,0.569,106.054
6VqnWmjto3NFfojvUx1ws2,0.643,0.595,-7.709,0.0277,0.174,2.49e-06,0.108,0.776,144.973
2otCM15RQxb5klWroyRRYs,0.753,0.279,-11.414,0.0462,0.827,0.0,0.133,0.356,116.945
21dAwmmQfsjGh8h7slPyrD,0.811,0.488,-7.309,0.0553,0.179,1.26e-06,0.165,0.168,109.947
0NmyaqedeQ7DRcjWquikEk,0.615,0.801,-6.281,0.0729,0.0122,0.0,0.0796,0.75,159.888
1neh53RpPLL3DZPW2q6RkH,0.792,0.662,-5.874,0.0357,0.275,0.0,0.0486,0.932,120.068
0wHYbtCUq9nPbOq6DVwdC6,0.726,0.715,-5.104,0.0292,0.0581,0.0,0.109,0.678,125.014
78ZgTVUSANWnLIKAgGtDz3,0.738,0.617,-7.747,0.0315,0.042,0.0,0.145,0.551,102.013
5aNGZv8NUxx9k1lS6ZXmoT,0.526,0.487,-7.765,0.0366,0.304,3.74e-06,0.138,0.299,135.995
6qkwieeAuu97CLLtuooHd3,0.544,0.515,-10.732,0.371,0.28,0.0,0.229,0.347,188.433
479UZI7rBJRJwqB0UZyZ57,0.533,0.41,-8.607,0.0322,0.744,6.28e-05,0.0985,0.149,133.591
2PQYO2ycXPyZdL1qZebBMH,0.708,0.687,-4.881,0.135,0.246,0.0,0.0448,0.717,79.051
09VW2o6EHSWwzCdhW4ARU1,0.858,0.58,-5.897,0.118,0.0115,0.0,0.0788,0.847,94.984
0OmJeFIKTPo2F1XuXJQ7G6,0.575,0.469,-7.432,0.0248,0.0325,0.0,0.207,0.229,90.912
58VQl8tTnqcpNktcx9tQUP,0.713,0.185,-16.927,0.0358,0.962,0.00138,0.13,0.365,120.097
2UHnJzIiyNqPTufzxHdTQx,0.758,0.618,-6.998,0.04,0.0329,0.0,0.327,0.644,96.059
6hChH6ea8SeDarTGl6YTBe,0.837,0.474,-8.659,0.339,0.557,9.12e-06,0.0998,0.277,154.941
3rN4uWkEiRCGPJOzSsgCsS,0.744,0.744,-5.853,0.055,0.0341,0.0,0.267,0.701,98.065
0E2qrXXGhi6Aje9Dxx4BG2,0.513,0.217,-6.631,0.0677,0.874,0.0,0.105,0.628,158.977
0XSncrobBZoW1A0bFh8Ttx,0.799,0.398,-5.838,0.0445,0.142,0.0,0.107,0.388,93.933
2OZNEa3tW5HKAaAQqnJope,0.646,0.576,-7.827,0.071,0.449,0.0,0.342,0.375,149.821
1vOfS6WjYHsF3DVwpJ1iPA,0.606,0.384,-13.115,0.39,0.628,0.0,0.0882,0.586,112.984
7HGwpUzbvszA3q7pnokHkY,0.578,0.459,-9.926,0.127,0.381,0.0247,0.231,0.344,92.067
0DmtWVpLwIoaeloVQV1IUD,0.717,0.554,-6.158,0.065,0.246,7.49e-06,0.105,0.211,166.011
4NS3yDtIivNZ5NiLonDPPO,0.646,0.484,-6.847,0.0454,0.481,4.35e-06,0.0999,0.207,83.109
331XiSC8eOEhnG0zINJfyl,0.575,0.525,-6.863,0.043,0.0876,0.0,0.341,0.137,142.055
5tgLkUlAmTR9FhOzVVfIJS,0.348,0.477,-9.567,0.188,0.785,0.0,0.104,0.181,175.167
1CDysfnZvwKEFeTttetFIN,0.58,0.247,-9.262,0.0617,0.742,0.0,0.137,0.136,84.794
0ERL0VyBfQly3GRTdMAMr1,0.657,0.689,-8.304,0.0317,0.0749,0.00949,0.667,0.488,144.92
4VtCXo8KrKPD3TbfypoGQf,0.698,0.607,-7.794,0.0337,0.607,0.0,0.144,0.557,87.489
7Mzaz8s8puiedwxzPAOcq8,0.703,0.697,-5.7,0.0358,0.0699,0.0,0.171,0.685,106.979
4WQrvwAyEuzybKibfAfnEI,0.694,0.601,-5.263,0.031,0.461,0.0,0.282,0.563,95.066
5ewK2ShXk38VrfE2jSK14P,0.392,0.69,-3.171,0.0782,0.311,0.0,0.124,0.359,163.865
7hfmW68tXy8x1ZMDj0kBTs,0.57,0.508,-10.471,0.0429,0.119,0.0,0.738,0.451,83.952
39Lw3dzozjO2o4hM302by9,0.676,0.85,-4.291,0.0376,0.287,0.0,0.205,0.712,76.509
45HHTHXv7gQ5q2r89ui2Fy,0.787,0.478,-8.761,0.092,0.566,0.0,0.147,0.649,79.029
41iOmLCJW8xjcuGwkcLhhd,0.841,0.441,-6.416,0.0547,0.87,0.0,0.149,0.457,104.075
5PmtPTXrLqgqQfqngsUqZp,0.834,0.402,-10.277,0.072,0.76,0.0,0.279,0.684,122.008
51bfXmv8J3Hhc2oxzLOme7,0.781,0.477,-7.47,0.0949,0.135,0.0,0.142,0.26,171.923
70Zo6N1w5N2dYaFHOy2xb2,0.72,0.526,-5.216,0.0524,0.609,0.0,0.285,0.196,98.042
0dOY7HTtl9OhlouW5ToZNC,0.712,0.558,-7.581,0.0768,0.116,0.0,0.204,0.316,90.014
2kHcMUgIqU3t87wjoGhrd6,0.691,0.741,-5.617,0.288,0.0868,0.0,0.109,0.318,161.917
0bIHWAGW7gahdRc4JP2Eup,0.591,0.694,-9.48,0.0597,0.315,0.0,0.472,0.51,86.001
