id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7j2iXukvJkjxop6mVimKa8,0.463,0.0461,-28.594,0.0406,0.991,0.938,0.113,0.202,130.68
0kDtPCoxWjU61B8j37bsSu,0.58,0.493,-9.514,0.05,0.0676,0.742,0.0974,0.521,180.011
522fbbF4Zd4g9HG6l9XJEN,0.413,0.122,-16.202,0.0533,0.982,0.0,0.0824,0.139,100.392
3Q7rxZczcF2hpaoNngqzb7,0.698,0.908,-8.997,0.208,0.000402,0.857,0.678,0.0362,133.991
5ooGgEzqvdDEnIfiVUY2C4,0.525,0.942,-3.475,0.32,0.0289,0.0,0.0649,0.576,140.511
3e0Aa82tM8CC140JR2DNGY,0.622,0.665,-8.752,0.0362,0.16,0.936,0.279,0.457,115.014
77tt9aBVMv5mI1Fs21Ugz2,0.427,0.842,-4.928,0.04,8.54e-05,0.00029,0.206,0.434,81.04
6K0hKXGzsRUsGS8e0UK7Dz,0.738,0.541,-5.713,0.03,0.714,0.0,0.115,0.302,115.942
2LPaDUpex1e20vtJWDSVnu,0.635,0.778,-5.94,0.0384,0.000608,0.000559,0.084,0.82,130.042
0imZaIb0UKgPaAYOYPxvWM,0.548,0.337,-14.218,0.0293,0.754,0.898,0.116,0.538,102.976
24usVbWvZfjbdmIjVCBq0S,0.469,0.355,-10.314,0.051,0.739,0.0,0.896,0.156,127.42
39biYu0of4kRtBtNNcobJ5,0.803,0.714,-6.144,0.0695,0.539,0.0109,0.0421,0.64,105.0
5cAmqxVIjrmYDyJPkjG6DP,0.655,0.661,-15.037,0.0392,0.000523,0.808,0.0784,0.0653,128.978
3MC5sDDsyHZv8QxmRLBiKx,0.433,0.951,-5.232,0.142,0.000205,0.000998,0.599,0.287,144.04
5sXadz6kMiQzWt4OgKjL4Y,0.611,0.941,-9.46,0.0708,0.101,0.911,0.166,0.45,172.973
2EMngLtTNajWGCaH4BEAdl,0.496,0.554,-12.758,0.92,0.899,0.0,0.693,0.537,96.741
29Dvkvp7Wgd1VJdDvVJlvf,0.618,0.98,-0.842,0.0777,0.0266,0.516,0.328,0.488,140.003
1gNRqtEH5QqnkOWvqP45HK,0.393,0.116,-22.639,0.0812,0.949,0.329,0.351,0.345,129.27
2RzSnmL9DCVHpaCR5z6Ufs,0.577,0.876,-3.957,0.0297,0.000273,0.000461,0.0904,0.435,102.512
7vzfaxzAl0YNLBp2xA7T0b,0.674,0.594,-6.612,0.0481,0.705,0.0,0.083,0.826,142.157
4kydqVgdEvmVD7F71KOL1n,0.745,0.723,-4.617,0.252,0.0209,0.0,0.389,0.536,82.776
5TTk0kkmxOJNBK63XHMy0a,0.0657,0.196,-23.824,0.0474,0.526,0.819,0.112,0.0584,74.113
1Y1wDmy6zrhYiG3SUkC74y,0.647,0.932,-8.842,0.0442,0.0368,0.269,0.292,0.141,145.011
4wkmYNKxBvNC5Hing5IG9X,0.787,0.765,-11.622,0.0562,0.00608,0.892,0.108,0.961,120.013
4pSArVsC1tJONBkJiB7XrT,0.253,0.209,-21.792,0.0382,0.986,0.897,0.101,0.313,87.928
7aHXJZYMOeHF4gWFEcuSbG,0.211,0.193,-16.264,0.0381,0.968,0.912,0.265,0.171,94.447
40vLYIIjxWblIOcpOza4cY,0.223,0.0777,-29.013,0.0359,0.657,0.864,0.102,0.0455,70.677
73pZA5FGIBZJGX8VJ8Vljx,0.562,0.455,-14.198,0.0578,0.0687,0.953,0.181,0.123,132.91
7AtBtwrKhz94hYXgGYyG58,0.64,0.674,-6.442,0.237,0.0119,0.0,0.0747,0.459,136.869
5n8Y78Pl5q8lqS7sJP61qw,0.741,0.943,-1.401,0.0456,0.0486,0.0,0.965,0.725,124.987
5zYGzOzyQFONrOlm3BbFyM,0.665,0.698,-5.212,0.0338,0.00165,0.00664,0.494,0.571,121.932
07FvQulSiyKGzLB9IOpDvZ,0.447,0.038,-20.167,0.0537,0.99,0.934,0.114,0.088,61.608
0iED12oFeFL6IVafoCEraG,0.636,0.845,-7.759,0.0408,0.00255,0.316,0.0931,0.179,133.412
5cebPQVq4mdFykugzU2LfU,0.186,0.0916,-17.125,0.0381,0.885,0.00027,0.0959,0.0489,168.926
6uAnccb1EA8Kz88GE7BaY4,0.4,0.313,-9.926,0.034,0.87,0.000327,0.119,0.163,72.198
1aWuQlP3bsTJB7FaRdVDpH,0.558,0.876,-4.244,0.163,0.559,1.64e-05,0.381,0.572,160.037
4jxuarNHfOTz6GDfsorfNH,0.464,0.9,-5.105,0.0716,0.00239,0.000168,0.0797,0.763,202.017
6MiBJgn19Pv8CJfMPhZnWX,0.186,0.931,-4.032,0.0929,0.000718,0.0342,0.336,0.0462,174.708
5DHQKZCOZhGNTbYBCekWx0,0.51,0.643,-6.602,0.0485,0.214,3.22e-06,0.101,0.0397,130.081
2bCgXhZpTooo135ajCf4My,0.771,0.669,-9.281,0.0617,0.0249,0.829,0.103,0.0398,132.991
19H5ttBgbvwq85hGmn7MLn,0.218,0.92,-6.476,0.0647,0.00723,0.0328,0.103,0.341,174.375
4J4ZBdkwfS3DCnLVPsJowU,0.369,0.34,-14.424,0.0323,0.818,0.869,0.0921,0.361,88.855
7nD9nN3jord9wWcfW3Gkcm,0.689,0.791,-5.194,0.053,0.023,0.0,0.0526,0.755,95.04
5kfADpiQpVgX5BhbIvw5Tr,0.0709,0.82,-10.271,0.105,0.809,0.987,0.711,0.203,75.682
2EZLvFyikVZ5ClzDHaUmkC,0.182,0.161,-14.616,0.0368,0.984,0.722,0.146,0.114,171.419
5HVh7Bl4doQTXSFAUYDF6K,0.242,0.906,-7.309,0.152,9.75e-06,0.315,0.161,0.105,104.671
3kdXigOly0AhtvYfAJFBjn,0.687,0.826,-5.708,0.0314,0.0207,0.892,0.213,0.693,120.037
69yyZiAS9G6MvS7cke8zMh,0.793,0.677,-7.085,0.0654,0.00363,0.019,0.0827,0.743,120.027
2uxudaBcJamtfgvUjSDdkZ,0.584,0.722,-7.733,0.28,0.0183,1.41e-05,0.143,0.685,87.551
4P2wfxf3VCg5CmFojRiHe0,0.34,0.968,-7.568,0.0696,1.79e-06,0.0401,0.667,0.164,129.079
7cKPEhq6EcX3y2ySeYteyz,0.656,0.462,-8.512,0.0362,0.631,0.0836,0.104,0.855,96.692
1YJ1RVGlSRab1ZD1SK7DhM,0.697,0.521,-11.827,0.0467,0.00802,0.83,0.0864,0.267,118.989
6f7Inp1WevWRJoicfAMDEl,0.705,0.938,-14.531,0.0944,0.0734,0.828,0.0839,0.468,133.012
3vijPewCSsiuLgxGTBmZjl,0.492,0.423,-20.861,0.646,0.993,0.0308,0.311,0.958,142.644
0g08Zpu8Lp9ZjGEIufFCpj,0.574,0.131,-20.965,0.0372,0.983,0.946,0.113,0.119,113.106
3Yn83dJGBWtL0icQirgyp6,0.71,0.256,-10.112,0.199,0.294,0.181,0.0832,0.285,75.026
5aBgLfstaKVtxgByTt10s1,0.906,0.645,-8.574,0.0532,0.418,0.0,0.168,0.963,141.956
5AnCLGg35ziFOloEnXK4uu,0.583,0.655,-5.407,0.0315,0.111,3.57e-06,0.113,0.201,119.759
23DBBFoyTlLrRu1QDtKd4Q,0.604,0.862,-3.652,0.0994,0.000179,0.235,0.632,0.331,127.994
7iGr5BXjtyO8Xk1g3wUEKc,0.609,0.554,-4.406,0.0862,0.00154,0.518,0.415,0.467,147.108
4AV3r1Hx3fv1I63NLe3CpP,0.4,0.949,-2.128,0.0699,0.000161,0.693,0.384,0.11,174.007
3aJfaUFiCYl3ac29woJM4r,0.301,0.978,-4.677,0.285,0.00165,0.408,0.812,0.0383,144.524
2LdIdxrmu8V6mbkCEzpGEN,0.418,0.892,-8.917,0.894,0.887,0.0,0.854,0.329,93.477
1ab0eLj0SoMOOFE7IWgs9M,0.45,0.882,-5.291,0.057,0.0292,0.0,0.12,0.468,74.98
5auglZ1OExM2vfYA8bRIvR,0.809,0.325,-11.82,0.295,0.79,0.000717,0.153,0.805,144.78
2CwrfXaGKfIavXNbnZ2mmY,0.935,0.643,-6.592,0.143,0.0218,0.721,0.162,0.492,124.983
